filter_id,Mg,Al,Si,S,K,Ca,Ti,Mn,Fe,Zn,BC,arm,stove,smoke,coil,trash,kerosene,incense,generator,smoky,crop,stove_other,pm25,bc,co,fueltype
3M50038,0.0692,0.1938,0.0088,0.1313,0.3547,0.118,0.0111,0.0038,0.0827,0.0031,2.584502789,Control,Yes,No,No,No,No,No,No,No,No,No,24.28478888,2.584502789,0.240601717,Biomass
3M50039,0.1172,0.461,0.7402,0.2661,1.015,0.6348,0.0323,0.0161,0.2321,0.0046,13.57936638,Intervention,Yes,No,No,No,No,No,No,No,No,Yes,78.89901835,13.57936638,1.419743782,Biomass
3M50040,0.1216,0.0077,0.2425,0.3313,1.9132,0.6317,0.0276,0.0133,0.1395,0.0064,95.61282816,Control,Yes,No,No,No,No,No,No,No,No,No,283.4125458,95.61282816,1.477739796,Biomass
3M50046,0.1992,1.6462,1.899,0.236,1.8146,0.5638,0.1105,0.0241,0.8825,0.0031,10.03408894,Control,Yes,No,No,No,No,No,No,No,No,No,140.438434,10.03408894,2.752080062,Biomass
3M50080,0.1087,0.1857,0.8719,0.4874,0.7701,1.0556,0.0276,0.0038,0.1456,0.0031,10.65904838,Intervention,Yes,No,No,No,No,No,No,No,No,Yes,57.53373586,10.65904838,3.036513976,Biomass
3M50107,0.03,0.0077,0.0088,0.1635,0.8615,0.0376,0.0111,0.0068,0.053900000000000003,0.0031,10.84864053,Control,Yes,No,No,No,No,No,No,No,No,Yes,105.4094753,10.84864053,0.040878283,Biomass
3M50113,0.1708,0.0077,0.0731,0.2891,1.9753,0.3737,0.0161,0.0161,0.1554,0.0082,18.10095484,Intervention,Yes,No,No,No,No,No,No,No,No,Yes,131.1334961,18.10095484,1.952459605,Biomass
3M50148,0.1881,0.7904,2.1355,0.2827,1.7105,0.6944,0.1059,0.0309,0.6341,0.0155,15.9761811,Control,Yes,No,No,Yes,No,No,No,No,No,Yes,112.5138665,15.9761811,0.523938025,Biomass
3M50150,0.0566,0.3094,0.6807,0.1107,0.4447,0.442,0.0438,0.0362,0.4971,0.0031,2.550552014,Intervention,Yes,No,No,No,No,No,No,No,No,No,17.11841205,2.550552014,0.104706036,LPG
3M50188,0.0152,0.0077,0.0088,0.057,0.1998,0.0774,0.0111,0.0068,0.0429,0.0031,11.59620846,Intervention,Yes,No,No,Yes,No,No,No,No,No,No,35.71485262,11.59620846,0.088530235,Biomass
3M50190,0.0407,0.1534,0.0088,0.1671,0.6321,0.1057,0.0111,0.0038,0.0429,0.0031,11.08881201,Control,Yes,No,No,No,No,No,No,No,No,No,70.79872963,11.08881201,2.437501896,Biomass
3M50193,0.0685,0.297,0.175,0.187,1.0366,0.154,0.0254,0.0268,0.1404,0.0031,8.939040098,Control,Yes,No,No,No,No,No,No,No,No,Yes,72.61272694,8.939040098,0.152564103,Biomass
3M50212,0.0665,0.559,0.6262,0.3996,0.3569,0.1987,0.046,0.0133,0.2411,0.0046,4.620283818,Control,Yes,No,No,No,No,No,No,No,No,No,28.03391715,4.620283818,0.087297349,Biomass
3M50727,0.1399,0.6933,1.4347,0.2559,1.8091,0.9646,0.0668,0.0455,0.4789,0.0468,9.140840192,Control,Yes,No,No,No,No,No,No,No,No,No,184.7196091,9.140840192,1.531170648,Biomass
3M50733,0.1028,0.9685,1.9362,0.4907,2.2967,0.8474,0.1313,0.0816,0.7857,0.0155,7.962898578,Control,Yes,No,No,No,No,No,No,No,No,No,411.7681595,7.962898578,2.942249104,Biomass
3M50755,0.0694,0.0705,0.1134,0.4989,3.6518,0.4244,0.0111,0.0108,0.1375,0.0031,17.75336159,Intervention,Yes,No,No,No,No,No,No,No,No,Yes,313.6862842,17.75336159,5.804154705,Biomass
3M50757,0.0785,0.2296,0.633,0.2385,0.9836,0.4297,0.0345,0.0334,0.2789,0.0137,11.16643865,Control,Yes,No,No,No,No,No,No,No,No,No,45.47868061,11.16643865,2.080748459,Biomass
3M50775,0.0194,0.0077,0.1443,0.2602,0.3411,0.1848,0.023,0.0148,0.2171,0.0046,2.575930641,Intervention,Yes,No,No,No,No,No,No,No,No,No,21.89907638,2.575930641,0,LPG
3M50783,0.0603,0.0077,0.0088,0.3684,1.2576,0.1691,0.0111,0.0093,0.0418,0.0031,11.48788761,Intervention,Yes,No,No,No,No,No,No,No,No,No,98.13229234,11.48788761,1.072238682,Biomass
3M50786,0.0159,0.0254,0.0802,0.271,0.1541,0.1392,0.0206,0.0038,0.0917,0.0194,2.554747001,Intervention,Yes,No,No,No,No,No,No,No,No,No,17.14656733,2.554747001,0.00247068,LPG
3M50794,0.0491,0.3327,0.0548,0.1706,0.1903,0.0787,0.023,0.0038,0.0997,0.0031,2.563241327,Intervention,Yes,No,No,No,No,No,No,No,No,No,14.55320776,2.563241327,0.699955197,LPG
3M50813,0.0783,0.3119,0.0088,0.1614,0.561,0.2734,0.0111,0.0038,0.0219,0.0031,4.892116288,Intervention,Yes,No,No,No,No,No,No,No,No,Yes,37.75852228,4.892116288,0.418431308,LPG
3M50821,0.0743,0.2677,0.1638,0.2292,0.6394,0.1521,0.0206,0.0038,0.1067,0.0155,5.112406666,Control,Yes,No,No,No,No,No,No,No,No,No,27.09351385,5.112406666,0.406976402,Biomass
3M50824,0.0807,0.0345,0.0088,0.4675,2.0684,0.6224,0.0184,0.0038,0.1266,0.0031,12.86530738,Control,Yes,No,No,No,No,No,No,No,No,No,328.5712221,12.86530738,4.047164706,Biomass
3M50825,0.0464,0.3377,0.8315,0.2067,0.3773,0.204,0.076,0.0442,0.4898,0.0082,2.623794217,Intervention,Yes,No,No,No,No,No,No,No,No,No,21.13198569,2.623794217,0.825,LPG
3M50829,0.151,0.2604,0.9776,0.5758,3.7906,0.8678,0.0484,0.0495,0.2869,0.0046,12.02412121,Intervention,Yes,No,No,No,No,No,No,No,No,No,272.8286748,12.02412121,2.261335125,Biomass
3M50833,0.0205,0.0077,0.0088,0.2402,0.3983,0.0572,0.0184,0.0148,0.1116,0.01,2.567415168,Intervention,Yes,No,No,No,No,No,No,No,No,No,9.673464073,2.567415168,0.019641366,LPG
3M50871,0.0066,0.0077,0.0088,0.7743,6.899,0.0696,0.0161,0.0121,0.0398,0.0212,11.95450085,Control,Yes,No,No,No,No,No,No,No,No,No,363.6288972,11.95450085,4.937083333,Biomass
3M50876,0.0475,0.0471,0.3256,0.4014,3.1989,0.3415,0.0111,0.0309,0.0488,0.0046,10.51080519,Control,Yes,No,No,No,No,No,No,No,No,No,211.2730529,10.51080519,2.604666645,Biomass
3M50877,0.1251,0.3795,0.8538,0.301,1.0006,0.4392,0.0391,0.0038,0.0648,0.0031,5.726621133,Control,Yes,No,No,No,No,No,No,No,No,No,91.81537594,5.726621133,1.566403839,Biomass
3M50888,0.086,0.3353,0.1136,0.1328,0.7422,0.1797,0.0111,0.0108,0.1185,0.0031,9.697128059,Control,Yes,No,No,No,No,No,No,No,No,No,85.14992908,9.697128059,0.739955357,Biomass
3M50889,0.1074,0.452,0.3665,0.1381,0.4799,0.3629,0.0111,0.0148,0.1445,0.0031,2.610565002,Control,Yes,No,No,No,No,No,No,No,No,No,21.02543786,2.610565002,0.724776786,Biomass
3M50890,0.0703,0.3561,0.1494,0.2204,0.6821,0.0984,0.0111,0.0038,0.1136,0.0031,12.93550737,Control,Yes,No,No,No,No,No,No,No,No,No,56.94877748,12.93550737,NA,Biomass
3M50924,0.048,0.0077,0.0088,0.1943,0.5083,0.1702,0.0111,0.0038,0.0946,0.0031,7.609532835,Control,Yes,No,No,No,No,No,No,No,No,Yes,51.39551477,7.609532835,0.920006508,Biomass
3M50927,0.0762,0.4589,1.196,0.2383,0.3569,0.3828,0.0438,0.0161,0.4168,0.0031,5.828880525,Intervention,Yes,No,No,No,No,No,No,No,No,Yes,45.02540472,5.828880525,0.147569444,LPG
3M50986,0.0457,0.1304,0.7161,0.2816,1.1341,0.3041,0.0206,0.0309,0.1704,0.0031,12.70248836,Control,Yes,No,No,No,No,No,No,No,No,No,169.6289563,12.70248836,0.817982413,Biomass
3M50987,0.0157,0.2221,0.3264,0.1969,0.3068,0.1432,0.0111,0.0294,0.275,0.0137,4.639786074,Intervention,Yes,No,No,No,No,No,No,No,No,No,9.689479742,4.639786074,0.20948417,LPG
3M50995,0.0321,0.326,0.5431,0.5304,0.2825,0.0309,0.0111,0.0108,0.015,0.0212,22.97534826,Control,Yes,No,No,No,No,No,No,No,No,No,127.206037,22.97534826,1.719592199,Biomass
3M50998,0.0924,0.5482,0.7029,0.6341,1.7561,0.2495,0.0276,0.0201,0.2151,0.0031,11.34860935,Control,No,No,No,No,No,No,No,No,No,No,190.4920969,11.34860935,3.817280609,Biomass
3M51000,0.1087,0.6929,0.3967,0.2076,0.3349,0.1938,0.0323,0.0228,0.3149,0.0031,2.584502789,Intervention,Yes,No,No,No,No,No,No,No,No,No,9.73784653,2.584502789,0.118461683,LPG
3M51014,0.1342,0.5188,0.7902,0.3393,1.1012,0.4737,0.0161,0.0038,0.1505,0.0064,15.36308495,Intervention,Yes,No,No,No,No,No,No,No,No,Yes,98.24713764,15.36308495,NA,LPG
3M51018,0.088,0.4315,0.277,0.8947,2.1853,0.3439,0.0111,0.0038,0.1545,0.0031,16.17437642,Intervention,Yes,No,No,Yes,No,No,No,No,No,No,198.236443,16.17437642,3.128465984,Biomass
3M51026,0.1821,0.6334,0.4851,0.2212,0.6312,0.4796,0.03,0.0495,0.3048,0.0064,11.77192864,Control,Yes,No,No,No,No,No,No,No,No,No,90.90435565,11.77192864,0.334983981,Biomass
3M51036,0.065,0.8037,1.2168,0.4321,0.5066,0.2246,0.0599,0.0201,0.5081,0.0285,7.191615967,Intervention,Yes,No,No,No,No,No,No,No,No,No,48.0150749,7.191615967,0.003912306,LPG
3M51073,0.0729,0.0632,0.3483,0.1209,0.2745,0.4358,0.0111,0.0161,0.1384,0.0082,2.601819391,Intervention,Yes,No,No,No,No,No,No,No,No,No,9.803091732,2.601819391,0.160844055,LPG
3M51077,0.1456,0.3337,0.7331,0.1877,1.9351,0.6597,0.023,0.0374,0.2641,0.0031,9.816311329,Intervention,Yes,No,No,No,No,No,No,Yes,No,No,179.0682286,9.816311329,1.479528434,Biomass
3M51083,0.1739,0.7155,2.4463,0.1753,0.9389,0.8742,0.0829,0.0201,0.3967,0.0031,10.14596113,Intervention,Yes,No,No,No,No,No,No,No,No,No,46.44921734,10.14596113,0.213000071,Biomass
3M51092,0.0393,0.2648,0.6869,0.4354,0.5159,0.1861,0.0369,0.0201,0.2531,0.0155,8.164597503,Intervention,Yes,No,No,No,No,No,No,No,No,No,40.81420054,8.164597503,0.018263754,LPG
3M51094,0.0966,0.6419,1.3885,0.3574,0.9429,0.6481,0.0621,0.063,0.4405,0.0303,13.86799901,Control,Yes,No,No,No,No,No,No,No,No,No,61.99037997,13.86799901,1.72695722,Biomass
3M51102,0.2491,0.2668,0.3786,0.3344,0.7754,0.2153,0.023,0.0201,0.248,0.0046,8.139135941,Control,Yes,No,No,No,No,No,No,No,No,Yes,73.03855808,8.139135941,0.514755955,Biomass
3M51112,0.1214,1.352,2.0476,0.2349,0.467,0.3138,0.0829,0.0334,0.5556,0.0064,2.610565002,Intervention,Yes,No,No,No,No,No,No,No,No,Yes,23.36159762,2.610565002,0.076929491,LPG
3M51114,0.2615,1.0024,0.9181,0.4031,1.789,1.3304,0.0345,0.0173,0.7455,0.0031,14.7115211,Control,Yes,No,No,No,No,No,No,No,No,No,167.6400071,14.7115211,0.747986632,Biomass
3M51125,0.1211,0.4721,0.1813,0.1841,0.3399,0.3508,0.0369,0.0281,0.1655,0.0082,4.50918432,Control,Yes,No,No,No,No,No,No,No,No,No,24.24444869,4.50918432,0.03871124,Biomass
3M51129,0.0953,1.0938,1.7344,0.5861,3.7157,0.4989,0.0645,0.0469,0.7181,0.023,19.41406262,Control,Yes,No,No,No,No,No,No,No,No,No,489.9803081,19.41406262,5.176837152,Biomass
3M51130,0.084,0.2226,0.3293,0.4284,0.5877,0.1532,0.023,0.0173,0.276,0.0031,8.14873529,Intervention,Yes,No,No,No,No,No,No,No,No,Yes,36.43945037,8.14873529,0.22055309,LPG
3M51139,0.0477,0.5035,0.8695,0.5176,2.7588,0.3832,0.0369,0.0389,0.4789,0.0031,14.44850614,Control,Yes,No,No,No,No,No,No,No,No,No,102.8327467,14.44850614,1.309845061,Biomass
3M51144,0.1532,0.5327,1.7196,0.4568,0.6978,0.4206,0.0899,0.0562,0.4149,0.0031,7.92275529,Control,Yes,No,No,Yes,No,No,No,No,No,No,47.11915453,7.92275529,0.7435184,Biomass
3M51146,0.1169,0.0506,0.177,0.5276,1.1535,0.3401,0.023,0.0148,0.1067,0.0175,9.860806345,Control,Yes,No,No,No,No,No,No,No,No,No,70.43995229,9.860806345,0.259265428,Biomass
3M51164,0.0895,0.6078,0.8967,0.3709,1.705,0.4752,0.0506,0.0148,0.4241,0.0031,15.59808752,Control,Yes,No,No,No,No,No,No,No,No,No,94.14428435,15.59808752,1.957475131,Biomass
3M51187,0.0977,0.5114,0.3503,0.2535,0.9705,0.3099,0.023,0.0068,0.1565,0.0031,14.72401052,Intervention,Yes,No,No,No,No,No,No,No,No,Yes,319.7958233,14.72401052,1.077536137,Biomass
3M51188,0.0873,0.5579,0.4084,0.16,0.3019,0.166,0.0111,0.0068,0.1644,0.0137,2.554747001,Intervention,Yes,No,No,No,No,No,No,No,No,No,10.49407213,2.554747001,0.057638039,LPG
3M51198,0.1008,0.5932,0.4834,0.1985,0.9002,0.2907,0.023,0.0615,0.2142,0.0031,9.426280076,Control,Yes,No,No,No,No,No,No,No,No,Yes,52.83347112,9.426280076,2.298737985,Biomass
3M51199,0.132,0.3105,0.1991,0.2845,0.3433,0.1127,0.0161,0.0038,0.0548,0.0119,2.635469353,Intervention,Yes,No,No,No,No,No,No,No,No,No,14.90459022,2.635469353,0.993058206,LPG
3M51202,0.145,0.8266,1.377,0.2812,0.3667,0.2469,0.0575,0.0455,0.5939,0.0031,2.601819391,Intervention,Yes,No,No,Yes,No,No,No,No,No,No,23.28333431,2.601819391,0.652374642,LPG
3M51253,0.0153,0.0729,0.0258,0.25,2.7953,0.0679,0.0184,0.0121,0.0946,0.0082,12.80223352,Control,Yes,No,No,No,No,No,No,No,No,No,117.9546888,12.80223352,1.740537149,Biomass
3M51270,0.013,0.0077,0.0561,0.8384,4.7074,0.397,0.0111,0.0108,0.0637,0.0303,10.46457803,Intervention,Yes,No,No,Yes,No,No,No,No,No,No,555.4827123,10.46457803,7.356876694,Biomass
3M51273,0.2579,1.3334,2.2193,0.9131,5.4525,1.1874,0.1105,0.0615,0.7784,0.0031,10.71946536,Control,Yes,No,No,No,No,No,No,No,No,No,409.6006573,10.71946536,7.649236762,Biomass
3M51278,0.0816,0.1653,0.4484,0.7511,7.0396,0.4135,0.0438,0.0402,0.1892,0.0064,20.6994654,Control,Yes,No,No,No,No,No,No,No,No,No,632.3942383,20.6994654,4.752253832,Biomass
3M51280,0.0188,0.0077,0.0847,0.1382,0.2769,0.0835,0.0111,0.0038,0.0398,0.0031,2.661669898,Intervention,Yes,No,No,No,No,No,No,No,No,No,10.93327672,2.661669898,0.032003336,LPG
