filter_id,pre_ATN,post_ATN
3M50038,0.1457,15.5707
3M50039,9.8842,45.8825
3M50040,1.3318,380.5241
3M50046,3.6373,40.7186
3M50080,2.2729,42.0781
3M50107,7.2503,35.3423
3M50113,0.4895,70.1184
3M50148,1.9038,1.5886
3M50150,2.2905,40.6244
3M50188,2.3838,1.9281
3M50190,5.1050,14.7553
3M50193,0.0276,45.7705
3M50212,3.3910,27.9795
3M50727,2.5895,33.5048
3M50733,0.5848,29.8099
3M50755,2.1586,73.9453
3M50757,2.4260,43.1126
3M50775,4.3548,7.5798
3M50783,1.8709,49.5945
3M50786,5.6566,0.3641
3M50794,2.0644,1.6427
3M50813,1.2310,23.1695
3M50821,3.3915,18.2605
3M50824,3.7647,46.7308
3M50825,2.9661,5.6445
3M50829,0.7844,49.8483
3M50833,3.1499,4.6046
3M50871,1.7538,53.8270
3M50876,6.5288,35.4449
3M50877,0.6924,23.2566
3M50888,4.3072,34.5211
3M50889,5.9401,7.4727
3M50890,6.8782,44.5089
3M50924,4.0464,25.8935
3M50927,1.0658,22.0631
3M50986,10.0604,56.4253
3M50987,2.1388,12.8549
3M50995,1.2777,89.8565
3M50998,5.8372,47.7718
3M51000,2.9390,13.7331
3M51014,3.6967,62.4656
3M51018,0.3113,63.9186
3M51026,6.1998,55.2906
3M51036,3.4864,32.1732
3M51073,3.3405,10.4729
3M51077,0.4208,42.3126
3M51083,5.0034,44.0910
3M51092,3.7571,34.9492
3M51094,4.8403,57.5544
3M51102,5.3247,37.1227
3M51112,1.6677,12.3618
3M51114,3.4506,60.8298
3M51125,7.4582,25.9054
3M51129,4.3644,82.5443
3M51130,3.3224,35.8338
3M51139,0.1577,60.5356
3M51144,6.7799,41.6083
3M51146,2.5927,45.1982
3M51164,1.7723,63.2500
3M51187,4.1208,63.2703
3M51188,0.4175,9.3580
3M51198,1.1321,46.9333
3M51199,1.3664,13.8981
3M51202,1.9051,14.6102
3M51253,0.9932,49.5021
3M51270,3.6487,36.0326
3M51273,8.8043,48.6870
3M51278,1.9984,76.9794
3M51280,2.4821,13.5045
3M51284,1.9881,61.6707
3M51291,5.1791,42.8683
3M51307,1.8943,60.1792
3M51310,1.9417,41.5422
3M51312,3.7603,10.8434
3M51314,1.4763,7.2045
3M51322,2.0146,81.8597
3M51328,5.9917,47.6113
3M51332,1.8670,45.1615
3M51338,2.7527,28.1896
3M51353,1.7331,14.2230
3M51356,7.2755,73.1766
3M51359,8.1083,32.7574
3M51366,4.7620,22.8069
3M51377,3.9194,19.4367
3M51385,5.8700,47.4190
3M51400,3.0403,24.1556
3M51406,2.0318,15.8662
3M51408,4.6468,69.7232
3M51418,4.4450,65.1750
3M51456,3.2192,18.4937
3M51466,8.4720,58.7828
3M51467,4.0470,19.8444
3M51469,7.8353,13.7940
3M51478,6.0623,65.8481
3M51486,1.0110,16.3564
3M51500,3.2098,17.8267
3M51510,5.9366,21.1496
3M51532,3.9110,18.8675
3M51551,11.9433,31.5256
3M51600,7.4344,52.4016
3M51612,5.6336,33.5827
3M51617,6.7452,57.6323
3M51618,5.3040,73.3056
3M51632,2.7099,24.7458
3M51658,3.5418,34.0185
3M51661,5.7552,41.8455
3M51662,4.0094,54.5100
3M51665,5.1795,85.7293
3M51672,8.4857,57.4831
3M51678,4.6143,34.1099
3M51684,10.0072,78.8158
3M51685,11.4757,52.7750
3M51688,9.3494,17.6989
3M51689,9.7842,59.4847
3M51690,6.8243,15.8467
3M51691,7.1549,25.9452
3M51694,8.8668,19.0905
3M51695,6.3766,10.9645
3M51698,6.7527,72.9662
3M51705,9.6659,83.9008
3M51711,5.7592,29.6175
3M51728,6.1089,87.5944
3M51743,5.7518,31.7762
3M51747,6.9131,56.0191
3M51751,6.5438,64.4068
3M51757,1.6689,23.5480
3M51767,1.4845,38.0750
3M51769,1.0595,33.7364
3M51775,2.1466,74.3580
3M51778,2.7675,38.9024
3M51780,1.1945,29.8131
3M51781,4.1479,41.0627
3M51782,4.2514,16.9010
3M51789,1.5527,37.7798
3M51790,0.1490,43.4891
3M51796,1.7468,15.3652
3M51811,5.8529,57.3255
3M51813,3.7781,61.5811
3M51814,7.7770,32.0077
3M51816,9.0174,44.1121
3M51837,5.0755,50.6132
3M51839,9.9750,35.4652
3M51851,7.7843,50.4521
3M51855,2.1266,33.6959
3M51859,3.0505,74.4139
3M51861,2.3251,21.6068
3M51873,2.5384,43.5255
3M51874,8.9364,25.2936
3M51881,5.9804,39.9283
3M51895,7.1031,61.7931
3M51909,0.5872,48.2116
3M51914,2.7711,19.4322
3M51915,0.0986,31.4479
3M51916,2.4745,33.2937
3M51924,4.2285,75.4438
3M51926,1.5022,10.1873
3M51928,2.4317,43.1968
3M51929,2.0050,45.1283
3M51931,2.3502,47.7467
3M51933,3.7554,19.4095
3M51937,2.3006,38.6373
3M51942,1.1379,96.2934
3M51950,4.7559,33.2022
3M51953,3.1668,22.9657
3M51957,2.8585,26.0999
3M51966,1.2741,33.4254
3M51967,4.6554,61.4535
3M51976,1.4618,22.5255
3M51977,3.0911,39.8845
3M51985,4.2345,21.2100
3M51995,3.9063,75.5597
3M51996,4.2933,43.4643
3M52002,4.4993,53.3127
3M52016,6.3494,39.0494
3M52022,0.2001,63.9001
3M52023,0.0970,15.8310
3M52026,2.5662,53.9908
3M52031,6.6555,24.5242
3M52035,3.1624,67.2774
3M52045,1.3348,66.0060
3M52049,1.5331,15.5029
3M52050,1.2943,29.0765
3M52051,2.9128,22.0478
3M52064,1.1078,36.0928
3M52067,5.9214,56.5268
3M52069,3.1114,18.1185
3M52077,0.0828,36.4243
