filter_id,pre_ATN,post_ATN
3M50038,0.15,15.57
3M50039,9.88,45.88
3M50040,1.33,380.52
3M50046,3.64,40.72
3M50080,2.27,42.08
3M50107,7.25,35.34
3M50113,0.49,70.12
3M50148,1.90,1.59
3M50150,2.29,40.62
3M50188,2.38,1.93
3M50190,5.10,14.76
3M50193,0.03,45.77
3M50212,3.39,27.98
3M50727,2.59,33.50
3M50733,0.58,29.81
3M50755,2.16,73.95
3M50757,2.43,43.11
3M50775,4.35,7.58
3M50783,1.87,49.59
3M50786,5.66,0.36
3M50794,2.06,1.64
3M50813,1.23,23.17
3M50821,3.39,18.26
3M50824,3.76,46.73
3M50825,2.97,5.64
3M50829,0.78,49.85
3M50833,3.15,4.60
3M50871,1.75,53.83
3M50876,6.53,35.44
3M50877,0.69,23.26
3M50888,4.31,34.52
3M50889,5.94,7.47
3M50890,6.88,44.51
3M50924,4.05,25.89
3M50927,1.07,22.06
3M50986,10.06,56.43
3M50987,2.14,12.85
3M50995,1.28,89.86
3M50998,5.84,47.77
3M51000,2.94,13.73
3M51014,3.70,62.47
3M51018,0.31,63.92
3M51026,6.20,55.29
3M51036,3.49,32.17
3M51073,3.34,10.47
3M51077,0.42,42.31
3M51083,5.00,44.09
3M51092,3.76,34.95
3M51094,4.84,57.55
3M51102,5.32,37.12
3M51112,1.67,12.36
3M51114,3.45,60.83
3M51125,7.46,25.91
3M51129,4.36,82.54
3M51130,3.32,35.83
3M51139,0.16,60.54
3M51144,6.78,41.61
3M51146,2.59,45.20
3M51164,1.77,63.25
3M51187,4.12,63.27
3M51188,0.42,9.36
3M51198,1.13,46.93
3M51199,1.37,13.90
3M51202,1.91,14.61
3M51253,0.99,49.50
3M51270,3.65,36.03
3M51273,8.80,48.69
3M51278,2.00,76.98
3M51280,2.48,13.50
3M51284,1.99,61.67
3M51291,5.18,42.87
3M51307,1.89,60.18
3M51310,1.94,41.54
3M51312,3.76,10.84
3M51314,1.48,7.20
3M51322,2.01,81.86
3M51328,5.99,47.61
3M51332,1.87,45.16
3M51338,2.75,28.19
3M51353,1.73,14.22
3M51356,7.28,73.18
3M51359,8.11,32.76
3M51366,4.76,22.81
3M51377,3.92,19.44
3M51385,5.87,47.42
3M51400,3.04,24.16
3M51406,2.03,15.87
3M51408,4.65,69.72
3M51418,4.44,65.18
3M51456,3.22,18.49
3M51466,8.47,58.78
3M51467,4.05,19.84
3M51469,7.84,13.79
3M51478,6.06,65.85
3M51486,1.01,16.36
3M51500,3.21,17.83
3M51510,5.94,21.15
3M51532,3.91,18.87
3M51551,11.94,31.53
3M51600,7.43,52.40
3M51612,5.63,33.58
3M51617,6.75,57.63
3M51618,5.30,73.31
3M51632,2.71,24.75
3M51658,3.54,34.02
3M51661,5.76,41.85
3M51662,4.01,54.51
3M51665,5.18,85.73
3M51672,8.49,57.48
3M51678,4.61,34.11
3M51684,10.01,78.82
3M51685,11.48,52.77
3M51688,9.35,17.70
3M51689,9.78,59.48
3M51690,6.82,15.85
3M51691,7.15,25.95
3M51694,8.87,19.09
3M51695,6.38,10.96
3M51698,6.75,72.97
3M51705,9.67,83.90
3M51711,5.76,29.62
3M51728,6.11,87.59
3M51743,5.75,31.78
3M51747,6.91,56.02
3M51751,6.54,64.41
3M51757,1.67,23.55
3M51767,1.48,38.07
3M51769,1.06,33.74
3M51775,2.15,74.36
3M51778,2.77,38.90
3M51780,1.19,29.81
3M51781,4.15,41.06
3M51782,4.25,16.90
3M51789,1.55,37.78
3M51790,0.15,43.49
3M51796,1.75,15.37
3M51811,5.85,57.33
3M51813,3.78,61.58
3M51814,7.78,32.01
3M51816,9.02,44.11
3M51837,5.08,50.61
